member_id,first_name,last_name,email,market,zip_code,purchase_date,renewal_date,acquisition_channel,total_visits,last_visit_date,plan_tier,plan_price
M00001,Patrick,Jackson,patrick.jackson40@gmail.com,Salt Lake City,84157,2026-02-17,2027-02-17,Instagram Ads,1,2026-04-03,Individual,36.29
M00002,Elijah,Carter,elijah.carter42@outlook.com,El Paso,79967,2026-02-20,2027-02-20,Facebook Ads,1,2026-02-28,Family Plus,101.36
M00003,Caleb,Green,caleb.green47@gmail.com,Phoenix,85062,2025-05-16,2026-05-16,Instagram Ads,0,,Family,61.09
M00004,Thomas,James,thomas.james13@gmail.com,Dallas,75242,2025-11-06,2026-11-06,Organic Search,0,,Family,95.25
M00005,Rachel,Richardson,rachel.richardson84@yahoo.com,Austin,78720,2026-01-29,2027-01-29,Groupon,0,,Couple,62.75
M00006,Danielle,White,danielle.white83@outlook.com,Salt Lake City,84149,2025-07-30,2026-07-30,Facebook Ads,6,2026-03-25,Couple,67.43
M00007,Kevin,Vasquez,kevin.vasquez6@gmail.com,Boise,83740,2025-08-18,2026-08-18,TikTok Ads,4,2026-04-02,Family,89.1
M00008,Stephanie,Scott,stephanie.scott33@gmail.com,Houston,77057,2026-02-22,2027-02-22,Word of Mouth,1,2026-02-26,Individual,35.92
M00009,Rachel,Miller,rachel.miller54@gmail.com,Houston,77040,2025-10-23,2026-10-23,Groupon,0,,Individual,23.49
M00010,Parker,Bennett,parker.bennett19@gmail.com,Phoenix,85070,2025-08-18,2026-08-18,Organic Search,0,,Individual,33.11
M00011,Charles,Jones,charles.jones33@gmail.com,Salt Lake City,84187,2026-02-02,2027-02-02,Word of Mouth,1,2026-02-20,Individual,24.76
M00012,Megan,Jones,megan.jones81@gmail.com,Phoenix,85028,2025-06-16,2026-06-16,Groupon,3,2026-02-27,Individual,26.06
M00013,Carolyn,Moore,carolyn.moore45@gmail.com,Boise,83723,2026-03-13,2027-03-13,Instagram Ads,1,2026-03-24,Family,72.3
M00014,Danielle,Marshall,danielle.marshall90@gmail.com,Phoenix,85027,2026-02-12,2027-02-12,Facebook Ads,0,,Family,77.31
M00015,Samuel,Richardson,samuel.richardson66@gmail.com,Provo,84670,2025-10-04,2026-10-04,Facebook Ads,0,,Family,66.64
M00016,Richard,James,richard.james35@gmail.com,Dallas,75261,2025-12-30,2026-12-30,Organic Search,3,2026-02-28,Family Plus,102.92
M00017,Kyle,Barnes,kyle.barnes22@yahoo.com,Salt Lake City,84155,2026-03-06,2027-03-06,Word of Mouth,1,2026-03-26,Couple,58.18
M00018,Paul,Vasquez,paul.vasquez5@gmail.com,Phoenix,85092,2025-05-30,2026-05-30,Groupon,2,2026-02-28,Couple,56.02
M00019,Brenda,Murphy,brenda.murphy15@gmail.com,Phoenix,85076,2025-11-22,2026-11-22,Groupon,2,2026-01-09,Family,69.47
M00020,Parker,Simmons,parker.simmons12@outlook.com,Fort Worth,76195,2025-11-02,2026-11-02,Groupon,0,,Individual,29.84
M00021,Isabella,Hall,isabella.hall47@gmail.com,Salt Lake City,84135,2025-10-02,2026-10-02,Instagram Ads,0,,Couple,53.82
M00022,Dennis,Owens,dennis.owens71@gmail.com,Mesa,85218,2025-07-09,2026-07-09,Groupon,1,2025-07-15,Family Plus,114.88
